Ticker,EnglishName,KoreanName,Sector
NVDA,NVIDIA Corp,엔비디아,Technology
AAPL,Apple Inc,애플,Technology
MSFT,Microsoft Corp,마이크로소프트,Technology
AMZN,Amazon.com Inc,아마존,Consumer Cyclical
GOOGL,Alphabet Inc Class A,알파벳,Communication Services
GOOG,Alphabet Inc Class C,알파벳,Communication Services
AVGO,Broadcom Inc,브로드컴,Technology
META,Meta Platforms Inc,메타,Communication Services
TSLA,Tesla Inc,테슬라,Consumer Cyclical
WMT,Walmart Inc,월마트,Consumer Defensive
ASML,ASML Holding NV ADR,에이에스엠엘,Technology
COST,Costco Wholesale Corp,코스트코,Consumer Defensive
MU,Micron Technology Inc,마이크론,Technology
NFLX,Netflix Inc,넷플릭스,Communication Services
AMD,Advanced Micro Devices Inc,에이엠디,Technology
PLTR,Palantir Technologies Inc,팔란티어,Technology
CSCO,Cisco Systems Inc,시스코,Technology
AMAT,Applied Materials Inc,어플라이드 머티리얼즈,Technology
LRCX,Lam Research Corp,램리서치,Technology
INTC,Intel Corp,인텔,Technology
LIN,Linde PLC,린데,Basic Materials
TMUS,T-Mobile US Inc,티모바일 US,Communication Services
PEP,PepsiCo Inc,펩시코,Consumer Defensive
KLAC,KLA Corp,케이엘에이,Technology
AMGN,Amgen Inc,암젠,Healthcare
TXN,Texas Instruments Inc,텍사스 인스트루먼트,Technology
GILD,Gilead Sciences Inc,길리어드 사이언스,Healthcare
ISRG,Intuitive Surgical Inc,인튜이티브 서지컬,Healthcare
ADI,Analog Devices Inc,아날로그 디바이시스,Technology
ARM,Arm Holdings PLC ADR,암 홀딩스,Technology
SHOP,Shopify Inc,쇼피파이,Technology
HON,Honeywell International Inc,허니웰,Industrials
PDD,PDD Holdings Inc ADR,PDD 홀딩스,Consumer Cyclical
APP,Applovin Corp,앱러빈,Communication Services
PANW,Palo Alto Networks Inc,팔로알토 네트웍스,Technology
BKNG,Booking Holdings Inc,부킹 홀딩스,Consumer Cyclical
QCOM,Qualcomm Inc,퀄컴,Technology
IBKR,Interactive Brokers Group Inc,인터랙티브 브로커스,Financial Services
INTU,Intuit Inc,인튜이트,Technology
SNY,Sanofi SA ADR,사노피,Healthcare
CME,CME Group Inc,씨엠이 그룹,Financial Services
VRTX,Vertex Pharmaceuticals Inc,버텍스 파마슈티컬스,Healthcare
SBUX,Starbucks Corp,스타벅스,Consumer Cyclical
CRWD,CrowdStrike Holdings Inc,크라우드스트라이크,Technology
WDC,Western Digital Corp,웨스턴 디지털,Technology
STX,Seagate Technology Holdings PLC,씨게이트 테크놀로지,Technology
SNDK,Sandisk Corp,샌디스크,Technology
CMCSA,Comcast Corp,컴캐스트,Communication Services
EQIX,Equinix Inc,에퀴닉스,Real Estate
CEG,Constellation Energy Corp,컨스텔레이션 에너지,Utilities
ADBE,Adobe Inc,어도비,Technology
MRVL,Marvell Technology Inc,마벨 테크놀로지,Technology
MELI,MercadoLibre Inc,메르카도리브레,Consumer Cyclical
MAR,Marriott International Inc,메리어트 인터내셔널,Consumer Cyclical
ADP,Automatic Data Processing Inc,오토매틱 데이터 프로세싱,Technology
REGN,Regeneron Pharmaceuticals Inc,리제네론 파마슈티컬스,Healthcare
CDNS,Cadence Design Systems Inc,케이던스 디자인 시스템즈,Technology
CSX,CSX Corp,씨에스엑스,Industrials
ORLY,O'Reilly Automotive Inc,오라일리 오토모티브,Consumer Cyclical
SNPS,Synopsys Inc,시놉시스,Technology
ABNB,Airbnb Inc,에어비앤비,Consumer Cyclical
